blend_id,API,Sulphur,crude_AGB,crude_BOL,crude_CJB,crude_WCD,crude_QUI,crude_AME,crude_FOR,crude_ABO,crude_OK2,crude_ESC,crude_BOC,crude_BRL,crude_AKP,crude_ASC,crude_AGO,crude_YOH,crude_OKW,crude_ERH,crude_PAZ,crude_Nembe,crude_Total,crude_Gas & LPG,crude_Naptha ,crude_Kerosene,crude_Light Diesel,crude_Heavy Diesel,crude_RCO
CB23,33.9,1632.7,0.0,0.06999999999999999,0.0,0.016666666666666666,0.02666666666666667,0.0,0.11,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.05666666666666667,0.0,0.0033333333333333335,0.043333333333333335,0.0,0.3333333333333333,0.005999999999999999,0.06066666666666667,0.049999999999999996,0.04666666666666667,0.048999999999999995,0.121
CB24,33.7,1589.0,0.0,0.06880427521710086,0.0,0.01002004008016032,0.023380093520374085,0.0,0.1302605210420842,0.0,0.006680026720106881,0.0,0.0,0.0,0.0,0.0,0.0,0.053440213760855046,0.0,0.0033400133600534404,0.03674014696058785,0.0,0.3336673346693387,0.006012024048096192,0.05978623914495658,0.05043420173680695,0.047762191048764197,0.04976619906479626,0.11990647962591851
CB25,32.9,1676.2,0.0,0.09272183449651047,0.0,0.019940179461615155,0.0,0.0,0.14955134596211367,0.0,0.003323363243602526,0.0,0.0,0.0,0.0,0.0,0.0,0.026586905948820207,0.0,0.006646726487205052,0.036556995679627786,0.0,0.33233632436025257,0.005982053838484546,0.06081754735792622,0.04553007643735461,0.048188767032236623,0.049850448654037885,0.1219674310402127
CB26,32.9,1676.2,0.0,0.09284525790349418,0.0,0.019966722129783693,0.0,0.0,0.1497504159733777,0.0,0.0033277870216306157,0.0,0.0,0.0,0.0,0.0,0.0,0.026622296173044926,0.0,0.005324459234608985,0.036605657237936774,0.0,0.3327787021630616,0.005990016638935108,0.060898502495840265,0.04559068219633944,0.048252911813643926,0.04991680532445923,0.1221297836938436
CB27,34.0,1607.8,0.0,0.11429523492169279,0.0,0.026657780739753417,0.0,0.03598800399866711,0.10329890036654449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009996667777407531,0.0,0.006664445184938354,0.036654448517160945,0.0,0.33322225924691773,0.007330889703432189,0.06164611796067977,0.05031656114628457,0.04698433855381539,0.04765078307230923,0.11929356881039653
CB27 Rev,35.8,1311.6,0.0,0.12974018610545976,0.0,0.02001133975919688,0.0,0.07704365807290799,0.07204082313310876,0.0,0.000667044658639896,0.00010005669879598438,0.0,0.0,0.0,0.0,0.0,0.01334089317279792,0.0,0.00667044658639896,0.01334089317279792,0.0,0.33352232931994796,0.008671580562318646,0.06903912216922922,0.05236300570323183,0.04702664843411266,0.046359603775472775,0.11006236867558283
CB28,35.8,1303.9,0.0,0.13674415502117865,0.0,0.02001133975919688,0.0,0.07671013574358804,0.06670446586398959,0.0,0.000667044658639896,0.00010005669879598438,0.0,0.0,0.0,0.0,0.0,0.01334089317279792,0.0,0.00667044658639896,0.01334089317279792,0.0,0.3328552846613081,0.008671580562318646,0.07270786779174866,0.054030617349831576,0.04702664843411266,0.046359603775472775,0.10405896674782376
CB29,36.8,1091.8,0.0,0.10670223407802601,0.030010003334444812,0.013337779259753251,0.0,0.0906968989663221,0.0543514504834945,0.0,0.0020006668889629878,0.0,0.0,0.0,0.0,0.0,0.0,0.03334444814938313,0.0,0.003334444814938313,0.0,0.0,0.33311103701233746,0.009003001000333443,0.07269089696565521,0.054018006002000664,0.0470156718906302,0.04634878292764255,0.10403467822607536
CB30,35.9,1174.1,0.0,0.10336778926308769,0.046682227409136384,0.003334444814938313,0.003334444814938313,0.0766922307435812,0.010003334444814937,0.0,0.0023341113704568187,0.0,0.0,0.0,0.0,0.0,0.0,0.03667889296432144,0.0,0.0,0.013337779259753251,0.03667889296432144,0.33377792597532513,0.009003001000333443,0.06968989663221073,0.05301767255751917,0.045681893964654885,0.04601533844614872,0.11037012337445816
CB31,35.2,1315.9,0.0,0.11668338348378468,0.04680708793045804,0.01671681711802073,0.003343363423604146,0.05683717820127048,0.06018054162487462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013373453694416584,0.0,0.0,0.01671681711802073,0.0,0.334670678702775,0.008692744901370779,0.06686726847208292,0.05215646940822467,0.04680708793045804,0.04714142427281845,0.11300568371782013
CB32,35.0,1345.0,0.0,0.09816360601001668,0.050083472454090144,0.01669449081803005,0.00667779632721202,0.0691151919866444,0.07412353923205342,0.0,0.0,0.000667779632721202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01669449081803005,0.0,0.333889816360601,0.008347245409015025,0.06544240400667779,0.05208681135225376,0.047078464106844735,0.047412353923205336,0.11352253756260434
Average,36.741176470588236,1434.7088235294118,0.0,0.06787632036211165,0.007354412058882367,0.06099259067499773,0.04583269595095488,0.014316588807957671,0.03330077780261936,0.0,0.024857912759022376,0.0034869719041847602,0.013139882878536494,0.0,0.0,0.0,0.0,0.011276765156952962,0.00019611765490352978,0.026485689294721674,0.023141883278616507,0.0010786471019694137,0.3333313721567843,0.007217129700449898,0.07500519711785493,0.04767620190704807,0.0453325959309509,0.044891331207417964,0.11320891629306257
